    instance #	Best UB TS Solution
10_Tao1 R1			
	4	158.00	158.00
	5	160.07	160.00
	6	136.87	136.75
	7	184.00	184.00
	8	174.44	174.17
	9	192.00	192.00
	10	133.05	133.00
20_Tao9 R5			
	1	158.15	157.00
	2	200.20	200.00
	3	165.71	165.57
	4	166.06	165.90
	5	147.14	147.00
	6	138.63	138.50
	7	165.16	163.00
	8	167.00	167.00
	9	157.16	157.16
	10	178.15	174.00
20_Tao9 R7			
	1	193.78	190.92
	2	208.20	208.00
	3	183.00	183.00
	4	171.16	171.00
	5	188.18	186.83
	6	197.52	197.33
	7	197.33	197.23
	8	234.17	234.00
	9	170.80	170.00
	10	180.03	177.71
20_Tao9 R9			
	1	198.81	197.50
	2	180.18	156.37
	3	189.40	189.11
	4	212.54	212.33
	5	190.42	188.89
	6	203.20	201.00
	7	173.00	172.00
	8	192.00	192.00
	9	180.67	179.50
	10	170.96	167.30
25_Tao1 R1			
	1	310.00	299.00
	2	260.00	249.00
	3	285.00	271.00
	4	237.00	228.00
	5	270.00	259.00
	6	275.00	272.00
	7	245.00	236.00
	8	265.00	253.00
	9	223.00	209.00
	10	223.00	214.00
25_Tao1 R3			
	1	290.00	285.00
	2	281.00	276.00
	3	245.00	239.00
	4	281.00	263.00
	5	240.00	230.00
	6	316.00	306.00
	7	310.00	298.00
	8	329.00	322.00
	9	249.00	245.00
	10	294.00	277.00
25_Tao1 R5			
	1	245.00	240.00
	2	315.00	308.00
	3	326.00	312.00
	4	306.00	295.00
	5	230.00	228.00
	6	210.00	205.00
	7	222.00	216.00
	8	257.00	253.00
	9	285.00	282.00
	10	283.00	278.00
25_Tao1 R7			
	1	270.00	259.00
	2	238.00	234.00
	3	282.00	278.00
	4	299.00	291.00
	5	289.00	285.00
	6	244.00	244.00
	7	206.00	206.00
	8	288.00	286.00
	9	283.00	283.00
	10	257.00	257.00
25_Tao1 R9			
	1	287.00	281.00
	2	332.00	325.00
	3	255.00	255.00
	4	282.00	282.00
	5	267.00	267.00
	6	272.00	270.00
	7	282.00	279.00
	8	291.00	287.00
	9	300.00	294.00
	10	285.00	285.00
25_Tao3 R1			
	1	292.00	287.00
	2	286.00	271.00
	3	258.00	247.00
	4	322.00	307.00
	5	210.00	202.00
	6	289.00	277.00
	7	285.00	276.00
	8	253.00	244.00
	9	248.00	240.00
	10	321.00	312.00
25_Tao3 R3			
	1	245.00	234.00
	2	277.00	264.50
	3	300.00	278.00
	4	234.00	224.00
	5	291.00	276.00
	6	268.00	261.00
	7	233.00	224.00
	8	265.00	247.75
	9	333.00	320.00
	10	272.00	255.00
25_Tao3 R5			
	1	270.00	262.00
	2	267.00	260.00
	3	227.00	220.00
	4	326.00	319.00
	5	224.00	220.00
	6	251.00	244.00
	7	286.00	270.00
	8	302.00	290.00
	9	230.00	226.00
	10	277.00	268.00
25_Tao3 R7			
	1	272.00	269.00
	2	246.00	232.00
	3	235.00	229.00
	4	284.00	281.00
	5	292.00	287.00
	6	255.00	250.00
	7	297.00	290.97
	8	217.00	213.50
	9	228.00	224.00
	10	282.00	267.00
25_Tao3 R9			
	1	290.00	281.10
	2	272.00	272.00
	3	271.00	266.00
	4	284.00	280.00
	5	228.00	226.00
	6	276.00	273.00
	7	283.00	283.00
	8	279.00	272.00
	9	248.00	239.00
	10	296.00	284.00
25_Tao5 R1			
	1	283.00	266.00
	2	178.00	165.00
	3	274.00	258.00
	4	269.00	250.00
	5	238.00	222.00
	6	250.00	243.00
	7	285.00	264.00
	8	244.00	228.00
	9	296.00	276.00
	10	297.00	276.00
25_Tao5 R3			
	1	288.00	261.40
	2	297.00	278.80
	3	304.00	287.00
	4	230.00	213.00
	5	297.00	282.00
	6	252.00	238.00
	7	246.00	235.00
	8	270.00	258.00
	9	309.00	297.00
	10	221.00	214.00
25_Tao5 R5			
	1	266.00	245.00
	2	273.00	261.00
	3	306.00	286.00
	4	267.00	255.00
	5	315.00	300.00
	6	309.00	303.00
	7	330.00	314.00
	8	253.00	234.00
	9	251.00	236.00
	10	247.00	236.00
25_Tao5 R7			
	1	281.00	261.00
	2	265.00	255.00
	3	313.00	308.00
	4	251.00	229.00
	5	281.00	266.00
	6	303.00	270.00
	7	274.00	260.00
	8	270.00	262.00
	9	289.00	268.00
	10	308.00	295.00
25_Tao5 R9			
	1	300.00	277.64
	2	292.00	289.00
	3	301.00	295.00
	4	287.00	269.16
	5	218.00	206.00
	6	285.00	269.00
	7	294.00	285.00
	8	253.00	240.00
	9	264.00	253.00
	10	228.00	221.00
25_Tao7 R1			
	1	296.00	242.00
	2	216.00	209.00
	3	290.00	254.00
	4	277.00	261.00
	5	256.00	234.00
	6	274.00	244.00
	7	228.00	215.00
	8	267.00	243.00
	9	297.00	260.00
	10	247.00	231.00
25_Tao7 R3			
